date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:50	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:32:50%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/memphis-colorful.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/memphis-colorful.24.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:51	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:32:52%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/round-pattern.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/round-pattern.25.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:53	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:32:53%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/spiration-light.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/spiration-light.26.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:54	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:32:55%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/swirl-pattern.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/swirl-pattern.27.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:56	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:32:57%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/tic-tac-toe.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/tic-tac-toe.28.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:57	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:32:58%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/x-pattern.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/x-pattern.29.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:59	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:33:00%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/curls.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/curls.2a.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:00	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:33:01%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/dark-angles.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/dark-angles.2b.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:02	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:33:03%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/darkness.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/darkness.2c.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:04	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:33:04%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/spiration-dark.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/spiration-dark.2d.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
